features;Layers;Neurons;Validation_Score;Test_score;Completion_time
12;2;14;50,3030303;49,09090909;
12;50;12;50,3030303;49,09090909;
12;1;12;50,3030303;49,09090909;
12;1;12;50,3030303;49,09090909;
12;1;12;50,3030303;49,09090909;
12;1;12;50,3030303;49,09090909;
12;2;8;50,3030303;49,09090909;
12;2;8;50,3030303;49,09090909;
12;2;9;50,3030303;49,09090909;
12;2;10;50,3030303;49,09090909;
12;2;11;50,3030303;49,09090909;
12;2;12;50,3030303;49,09090909;
12;2;13;50,3030303;49,09090909;
12;2;14;50,3030303;49,09090909;
12;2;15;50,3030303;49,09090909;
12;2;16;50,3030303;49,09090909;
12;3;8;50,3030303;49,09090909;
12;3;9;50,3030303;49,09090909;
12;3;10;50,3030303;49,09090909;
12;3;11;50,3030303;49,09090909;
12;3;12;50,3030303;49,09090909;
12;3;13;50,3030303;49,09090909;
12;3;14;50,3030303;49,09090909;
12;3;15;50,3030303;49,09090909;
12;3;16;50,3030303;49,09090909;
12;4;8;50,3030303;49,09090909;
12;4;9;50,3030303;49,09090909;
12;4;10;50,3030303;49,09090909;
12;4;11;50,3030303;49,09090909;
12;4;12;50,3030303;49,09090909;
12;4;13;50,3030303;49,09090909;
12;4;14;50,3030303;49,09090909;
12;4;15;50,3030303;49,09090909;
12;4;16;50,3030303;49,09090909;
12;5;8;50,3030303;49,09090909;
12;5;9;50,3030303;49,09090909;
12;5;10;50,3030303;49,09090909;
12;5;11;50,3030303;49,09090909;
12;5;12;50,3030303;49,09090909;
12;5;13;50,3030303;49,09090909;
12;5;14;50,3030303;49,09090909;
12;5;15;50,3030303;49,09090909;
12;5;16;50,3030303;49,09090909;
12;10;8;50,3030303;49,09090909;307,4186637
12;10;9;50,3030303;49,09090909;315,1374156
12;10;10;50,3030303;49,09090909;317,8590839
12;10;11;50,3030303;49,09090909;325,8264422
12;10;12;50,3030303;49,09090909;329,012616
12;10;13;50,3030303;49,09090909;337,7980225
12;10;14;50,3030303;49,09090909;342,6572687
12;10;15;50,3030303;49,09090909;355,1138335
12;10;16;50,3030303;49,09090909;350,3314244
12;20;8;50,3030303;49,09090909;665,8276035
12;20;9;50,3030303;49,09090909;697,5194721
12;20;10;50,3030303;49,09090909;708,9679542
12;20;11;50,3030303;49,09090909;707,5324312
12;20;12;50,3030303;49,09090909;720,2959062
12;20;13;50,3030303;49,09090909;743,4550579
12;20;14;50,3030303;49,09090909;750,0378612
12;20;15;50,3030303;49,09090909;778,1806708
12;20;16;50,3030303;49,09090909;785,6377133
12;30;8;50,3030303;49,09090909;1086,826671
2;2;2;50,3030303;49,09090909;111,9176277
2;2;4;50,3030303;49,09090909;70,80443953
2;2;6;50,3030303;49,09090909;60,64701698
2;2;8;50,3030303;49,09090909;65,03909107
2;2;10;50,3030303;49,09090909;72,20483219
2;3;2;50,3030303;49,09090909;87,70549139
2;3;4;50,3030303;49,09090909;97,48856296
2;3;6;50,3030303;49,09090909;111,3843047
2;3;8;50,3030303;49,09090909;103,5619632
2;3;10;50,3030303;49,09090909;93,3538672
2;5;2;50,3030303;49,09090909;129,3650924
2;5;4;50,3030303;49,09090909;140,4069787
2;5;6;50,3030303;49,09090909;132,9142485
2;5;8;50,3030303;49,09090909;136,2894283
2;5;10;50,3030303;49,09090909;139,7658333
4;3;4;50.303030303;49.0909090909;89.5948424893
4;3;6;50.303030303;49.0909090909;86.6682261431
4;3;8;50.303030303;49.0909090909;98.0876462648
4;5;4;50.303030303;49.0909090909;134.073413027
4;5;6;50.303030303;49.0909090909;151.449222866
4;5;8;50.303030303;49.0909090909;150.980240767
4;3;10;50.303030303;49.0909090909;109.709193688
4;3;25;50.303030303;49.0909090909;124.794072911
4;3;50;50.303030303;49.0909090909;162.049267819
4;3;75;50.303030303;49.0909090909;213.446701026
4;3;100;50.303030303;49.0909090909;227.696393352
4;4;10;50.303030303;49.0909090909;118.901110605
4;4;25;50.303030303;49.0909090909;148.351973688
4;4;50;50.303030303;49.0909090909;209.687647797
4;4;75;50.303030303;49.0909090909;264.675655438
4;4;100;50.303030303;49.0909090909;334.875163415
4;5;10;50.303030303;49.0909090909;148.841294822
4;5;25;50.303030303;49.0909090909;188.371531992
4;5;50;50.303030303;49.0909090909;268.871097566
4;5;75;50.303030303;49.0909090909;349.675766119
4;5;100;50.303030303;49.0909090909;434.611485608
12;3;10;50.303030303;49.0909090909;93.2834894016
12;3;25;50.303030303;49.0909090909;113.030839746
12;3;50;50.303030303;49.0909090909;155.555362761
12;3;75;50.303030303;49.0909090909;196.741262001
12;3;100;50.303030303;49.0909090909;243.233565155
12;4;10;50.303030303;49.0909090909;120.419435873
12;4;25;50.303030303;49.0909090909;150.746544922
12;4;50;50.303030303;49.0909090909;214.303624527
12;4;75;50.303030303;49.0909090909;277.018876334
12;4;100;50.303030303;49.0909090909;336.986135417
12;5;10;50.303030303;49.0909090909;149.717988199
12;5;25;50.303030303;49.0909090909;190.36312061
12;5;50;50.303030303;49.0909090909;276.25412683
12;5;75;50.303030303;49.0909090909;354.111074596
12;5;100;50.303030303;49.0909090909;438.077070205
10;3;10;50.303030303;49.0909090909;110.265794807
10;3;25;50.303030303;49.0909090909;85.3330420135
10;3;50;50.303030303;49.0909090909;116.105713771
10;3;75;50.303030303;49.0909090909;144.999648373
10;3;100;50.303030303;49.0909090909;174.295923211
10;4;10;50.303030303;49.0909090909;94.2944920116
10;4;25;50.303030303;49.0909090909;117.288744227
10;4;50;50.303030303;49.0909090909;168.506120058
10;4;75;50.303030303;49.0909090909;208.788601831
10;4;100;50.303030303;49.0909090909;250.045001892
10;5;10;50.303030303;49.0909090909;119.11053183
10;5;25;50.303030303;49.0909090909;150.28662297
10;5;50;50.303030303;49.0909090909;214.717741719
10;5;75;50.303030303;49.0909090909;274.674729543
10;5;100;50.303030303;49.0909090909;333.469054468
